Sunday, 21-07-18 22:10:23, 76.503, 76.503, 76.489, 45.393, 974.537008217706, off, 0
Sunday, 21-07-18 22:10:33, 76.435, 76.435, 76.427, 45.451, 974.5667547525181, off, 0
Sunday, 21-07-18 22:10:42, 76.443, 76.443, 76.445, 45.285, 974.5542858382847, off, 0
Sunday, 21-07-18 22:10:54, 76.372, 76.372, 76.364, 45.380, 974.5686999221507, off, 0
Sunday, 21-07-18 22:10:57, 76.357, 76.357, 76.355, 45.346, 974.6444154865236, off, 0
Sunday, 21-07-18 22:11:08, 76.307, 76.307, 76.301, 45.410, 974.5984316403155, off, 0
Sunday, 21-07-18 22:11:19, 76.253, 76.253, 76.247, 45.296, 974.6080292787196, off, 0
Sunday, 21-07-18 22:11:31, 76.240, 76.240, 76.238, 45.262, 974.5725750010828, off, 0
Sunday, 21-07-18 22:11:40, 76.126, 76.126, 76.112, 45.127, 974.5208558456771, off, 0
Sunday, 21-07-18 22:11:49, 76.058, 76.058, 76.050, 45.207, 974.4949933310144, off, 0
Sunday, 21-07-18 22:12:02, 75.954, 75.954, 75.942, 45.385, 974.5697217527388, off, 0
Sunday, 21-07-18 22:12:12, 75.927, 75.927, 75.924, 45.428, 974.5821737184498, off, 0
Sunday, 21-07-18 22:12:22, 75.884, 75.884, 75.879, 45.231, 974.5716283665855, off, 0
Sunday, 21-07-18 22:12:36, 75.807, 75.807, 75.798, 45.293, 974.5581984421002, off, 0
Sunday, 21-07-18 22:12:50, 75.783, 75.783, 75.780, 45.376, 974.5706458172132, off, 0
Sunday, 21-07-18 22:13:00, 75.700, 75.700, 75.691, 45.064, 974.5217647112186, off, 0
Sunday, 21-07-18 22:13:10, 75.578, 75.578, 75.565, 45.041, 974.5810852422333, off, 0
Sunday, 21-07-18 22:13:20, 75.493, 75.493, 75.484, 45.186, 974.539855708089, off, 0
Sunday, 21-07-18 22:13:30, 75.445, 75.445, 75.439, 45.312, 974.6403731168795, off, 0
Sunday, 21-07-18 22:13:35, 75.424, 75.424, 75.421, 45.366, 974.5139579347074, off, 0
Sunday, 21-07-18 22:13:50, 75.357, 75.357, 75.349, 45.435, 974.6192315780685, off, 0
Sunday, 21-07-18 22:13:56, 75.334, 75.334, 75.331, 45.350, 974.6038954194736, off, 0
